taxon_id_hash,scientific_name,dutch_name,common_name,kingdom,phylum,class,order,family,genus,taxon_rank,nomenclatural_code,location,country_code,occurrence_status,establishment_means,degree_of_establishment,old_introduction_pathway_will_be_deleted,introduction_pathway_1,introduction_pathway_2,introduction_pathway_3,date_first_observation,date_last_observation,source,occurrence_remarks,native_range,realm_will_be_deleted,terrestrial,marine,freshwater,host,abundance,threat_status,date_added,added_by,verified_by,taxon_id
6bcf9c25959c3b2535055ba465ac93b1,Oncorhynchus mykiss (Walbaum 1792),Regenboogforel,Rainbow trout,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,species,ICZN,Flanders,BE,present,introduced,casual,aquacultureMariculture | liveFoodBait,aquacultureMariculture,,,1884,2015,doi:10.1111/j.1095-8649.2007.01679.x,,North America,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:6bcf9c25959c3b2535055ba465ac93b1
22e0c0833feaf2c7e7267d9893c5b2ed,"Oreochromis niloticus (Linnaeus, 1758)",(Nijl)tilapia,Nile tilapia,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,species,ICZN,Flanders,BE,present,introduced,cultivated,aquacultureMariculture,aquacultureMariculture,,,1990,1990,doi:10.1111/j.1095-8649.2007.01679.x,,Africa,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:22e0c0833feaf2c7e7267d9893c5b2ed
dd184bae497ac07191f2f84b6c43df8b,Pimephales promelas Rafinesque 1820,Dikkopelrits,Fathead minnow,Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Pimephales,species,ICZN,Flanders,BE,present,introduced,colonising,liveFoodBait,liveFoodLiveBait,escapeFromConfinement,,1984,2024,doi:10.1111/j.1095-8649.2007.01679.x; DOI: 10.1080/14634988.2019.1685849,,North America,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:dd184bae497ac07191f2f84b6c43df8b
f0c5c8c1ae9ec26588b41ead5dfd8261,Ponticola kessleri (Günther 1861),Kesslers grondel,Bighead goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Ponticola,species,ICZN,Flanders,BE,present,introduced,invasive,ballastWater | corridor,ballastWater,corridor,,2012,2024,VIS,,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,abundant,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:f0c5c8c1ae9ec26588b41ead5dfd8261
5d69f2217ba58b9d0c49b318c39e9c01,Proterorhinus semilunaris (Heckel 1837),Marmergrondel,Tubenose goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Proterorhinus,species,ICZN,Flanders,BE,present,introduced,invasive,corridor,corridor,ballastWater,,2010,2024,http://dx.doi.org/10.3391/ai.2014.9.3.06,,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,abundant,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:5d69f2217ba58b9d0c49b318c39e9c01
1da48686487fe130179a13661ea90545,Pseudorasbora parva (Temminck & Schlegel 1846),Blauwband,Topmouth gudgeon,Animalia,Chordata,Actinopterygii,Cypriniformes,Gobionidae,Pseudorasbora,species,ICZN,Flanders,BE,present,introduced,widespreadInvasive,unintentional | liveFoodBait,transportContaminant,liveFoodLiveBait,,1992,2024,doi:10.1111/j.1095-8649.2007.01679.x,,Asia,freshwater,FALSE,TRUE,FALSE,,dominant,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:1da48686487fe130179a13661ea90545
7864ebfbde9459e7ce7192cc405f9077,"Sander lucioperca (Linnaeus, 1758)",Snoekbaars,Pikeperch,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Sander,species,ICZN,Flanders,BE,present,introduced,invasive,liveFoodBait,fisheryInTheWild,aquacultureMariculture,,1890,2024,doi:10.1111/j.1095-8649.2007.01679.x,,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:7864ebfbde9459e7ce7192cc405f9077
784e69c81f091e0340879bd90055e3a3,Terapon jarbua (Fabricius 1775),Tijgerbaars,Target fish,Animalia,Chordata,Actinopterygii,Perciformes,Terapontidae,Terapon,species,ICZN,Flanders,BE,doubtful,introduced,failing,ballastWater,ballastWater,,,2018,2018,https://doi.org/10.1016/j.ecss.2019.04.028,,Asia,estuarine,FALSE,TRUE,TRUE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:784e69c81f091e0340879bd90055e3a3
1cbd6b6e483355e55c3f0c75b516d437,Tridentiger bifasciatus Steindachner 1881,Shimofurigrondel,Shimofuri (marbled) goby,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Tridentiger,species,ICZN,Flanders,BE,present,introduced,established,ballastWater,ballastWater,,,2022,2024,DOI: 10.1111/jfb.15362,,Asia,estuarine,FALSE,TRUE,TRUE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:1cbd6b6e483355e55c3f0c75b516d437
0b628dff961ba5fd7acf4499ca4eb922,Umbra pygmaea (DeKay 1842),Amerikaanse hondsvis,Eastern mudminnow,Animalia,Chordata,Actinopterygii,Esociformes,Umbridae,Umbra,species,ICZN,Flanders,BE,present,introduced,invasive,pet | aquacultureMariculture,liveFoodLiveBait,aquacultureMariculture,,1920,2024,DOI 10.3391/ai.2010.5.1,,North America,freshwater,FALSE,TRUE,FALSE,,occasional,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:0b628dff961ba5fd7acf4499ca4eb922
8aba74227aea75eea48a3a6808e7db14,"Vimba vimba (Linnaeus, 1758)",Blauwneus,Vimba (bream),Animalia,Chordata,Actinopterygii,Cypriniformes,Leuciscidae,Vimba,species,ICZN,Flanders,BE,present,introduced,casual,corridor,fisheryInTheWild,,,2020,2020,,,Eastern Europe,freshwater,FALSE,TRUE,FALSE,,rare,NE,2024-06-06,Hugo Verreycken,,alien-fishes-checklist:taxon:8aba74227aea75eea48a3a6808e7db14
